
 displacements (vx,vy,vz) for set NALL and time  0.1000000E-02
         3   3 -8.163265E-13  2.448979E-13  2.448979E-13 -6.827543E-22 -3.635594E-21 -3.230970E-22
         3   4 -8.163265E-13  2.448979E-13  2.448979E-13  1.646586E-21 -2.474617E-22  1.861451E-22
         3   5 -8.163265E-13  2.448979E-13  2.448979E-13 -3.077871E-21 -1.752828E-22  4.599409E-22
         3   6 -8.163265E-13  2.448979E-13  2.448979E-13 -5.367718E-22 -1.752828E-22 -9.814256E-23
         3   7 -8.163265E-13  2.448979E-13  2.448979E-13 -2.230221E-21 -2.617606E-21  1.079254E-22
         3   8 -8.163265E-13  2.448979E-13  2.448979E-13 -1.383188E-21 -2.194089E-21  6.940544E-23

 displacements (vx,vy,vz) for set NALL and time  0.2000000E-02

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2 -8.163265E-10  0.000000E+00  0.000000E+00
         3 -3.000000E-02  0.000000E+00  0.000000E+00
         4 -3.000000E-02  0.000000E+00  0.000000E+00
         5 -6.000000E-02  0.000000E+00  0.000000E+00
         6 -6.000000E-02  0.000000E+00  0.000000E+00
         7  0.000000E+00  2.448979E-10  0.000000E+00
         8 -8.163265E-10  2.448979E-10  0.000000E+00
         9 -3.000000E-02  2.448979E-10  0.000000E+00
        10 -3.000000E-02  2.448979E-10  0.000000E+00
        11 -6.000000E-02  2.448980E-10  0.000000E+00
        12 -6.000000E-02  2.448979E-10  0.000000E+00
        13  0.000000E+00  0.000000E+00  3.428571E-10
        14 -8.163265E-10  0.000000E+00  3.428571E-10
        15 -3.000000E-02  0.000000E+00  3.428571E-10
        16 -3.000000E-02  0.000000E+00  3.428571E-10
        17 -6.000000E-02  0.000000E+00  3.428571E-10
        18 -6.000000E-02  0.000000E+00  3.428571E-10
        19  0.000000E+00  2.448979E-10  3.428571E-10
        20 -8.163265E-10  2.448979E-10  3.428571E-10
        21 -3.000000E-02  2.448979E-10  3.428571E-10
        22 -3.000000E-02  2.448979E-10  3.428571E-10
        23 -6.000000E-02  2.448979E-10  3.428571E-10
        24 -6.000000E-02  2.448980E-10  3.428571E-10

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.2000000E-02

         1   1 -3.428571E-07 -2.646978E-23 -1.447569E-51 -7.391020E-24 -7.645883E-24  4.077804E-24
         1   2 -3.428571E-07  3.104231E-52  2.646978E-23 -1.248827E-23 -5.556008E-23  3.058353E-24
         1   3 -3.428571E-07  2.646978E-23  2.646978E-23 -9.175059E-24 -4.077804E-24  1.631122E-23
         1   4 -3.428571E-07  2.646978E-23  7.940934E-23 -1.427231E-23 -2.650573E-23  1.121396E-23
         1   5 -3.428571E-07 -2.646978E-23 -5.293956E-23 -2.038902E-24  1.121396E-23  4.077804E-24
         1   6 -3.428571E-07 -2.646978E-23 -2.646978E-23 -1.835012E-23 -3.670024E-23  3.058353E-24
         1   7 -3.428571E-07 -2.646978E-23 -7.940934E-23 -8.155608E-24  1.427231E-23  1.427231E-23
         1   8 -3.428571E-07 -2.646978E-23 -2.646978E-23 -2.446682E-23 -1.631122E-23  1.121396E-23
         2   1 -3.428571E-07 -1.257086E-15 -1.411361E-15 -2.294584E-17 -3.580601E-16 -1.016364E-17
         2   2 -3.428571E-07 -1.323040E-15 -1.147325E-15  4.559536E-16  8.663217E-17  5.477999E-18
         2   3 -3.428571E-07 -1.307327E-15 -1.460174E-15 -8.563504E-17  4.487939E-17 -3.893008E-17
         2   4 -3.428571E-07 -1.395368E-15 -1.247676E-15 -2.566705E-16  2.501220E-16  4.006048E-17
         2   5 -3.428571E-07 -6.283819E-16 -7.021104E-16  5.568300E-16 -2.148322E-16 -9.164777E-18
         2   6 -3.428571E-07 -3.839259E-16 -3.050417E-16  4.200016E-16 -7.800379E-17 -1.413832E-17
         2   7 -3.428571E-07 -1.243039E-15 -1.315341E-15  5.828293E-16  1.674922E-16 -3.793122E-17
         2   8 -3.428571E-07 -1.020671E-15 -9.698102E-16  4.460009E-16  3.727348E-16  2.044417E-17
         3   1 -3.428571E-07 -6.621112E-16 -8.511411E-16  5.299328E-16  1.555890E-16  1.102822E-18
         3   2 -3.428571E-07 -7.733935E-16 -7.942316E-16  8.720038E-16 -5.969672E-16  5.415369E-17
         3   3 -3.428571E-07 -9.234702E-16 -9.136651E-16  4.824476E-16 -5.575220E-16 -1.350687E-16
