
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01
         6   1 -1.380527E+03  4.562217E-05  4.562217E-05  1.389016E-13  1.433548E-13 -8.833345E-15
         6   2 -1.380527E+03  4.562217E-05  4.562217E-05  5.208810E-14 -3.037347E-13  2.650003E-14
         6   3 -1.380527E+03  4.562217E-05  4.562217E-05  1.389016E-13  1.954429E-13  4.858340E-14
         6   4 -1.380527E+03  4.562217E-05  4.562217E-05  1.302202E-13  3.690699E-13  5.741674E-14
         6   5 -1.380527E+03  4.562217E-05  4.562217E-05  1.561143E-13  2.196592E-14  8.833345E-15
         6   6 -1.380527E+03  4.562217E-05  4.562217E-05 -1.751273E-14 -8.221027E-14  2.208336E-15
         6   7 -1.380527E+03  4.562217E-05  4.562217E-05  1.389016E-13  2.261652E-13  7.066676E-14
         6   8 -1.380527E+03  4.562217E-05  4.562217E-05  1.551910E-31  1.740771E-13  2.650003E-14
         7   1 -1.380527E+03  4.562217E-05  4.562217E-05  1.309704E-14  1.090795E-14  1.325002E-14
         7   2 -1.380527E+03  4.562217E-05  4.562217E-05  1.302953E-13  1.237655E-13 -6.625009E-15
         7   3 -1.380527E+03  4.562217E-05  4.562217E-05  2.170337E-14  8.831378E-15 -9.275012E-14
         7   4 -1.380527E+03  4.562217E-05  4.562217E-05  1.389016E-13  5.223813E-14 -9.495846E-14
         7   5 -1.380527E+03  4.562217E-05  4.562217E-05  6.674864E-33 -4.115633E-15  5.300007E-14
         7   6 -1.380527E+03  4.562217E-05  4.562217E-05  6.945080E-14  5.231314E-14  8.833345E-15
         7   7 -1.380527E+03  4.562217E-05  4.562217E-05 -5.636608E-33 -2.559397E-14 -1.766669E-14
         7   8 -1.380527E+03  4.562217E-05  4.562217E-05  6.945080E-14  5.253818E-14 -2.208336E-14
         8   1 -1.380527E+03  4.562217E-05  4.562217E-05  1.396517E-13  2.300933E-13 -4.416672E-15
         8   2 -1.380527E+03  4.562217E-05  4.562217E-05  3.002567E-13 -7.592430E-14  6.404175E-14
         8   3 -1.380527E+03  4.562217E-05  4.562217E-05  1.914398E-13  3.042223E-14 -3.975005E-14
         8   4 -1.380527E+03  4.562217E-05  4.562217E-05  2.218245E-13 -2.166587E-14  1.479585E-13
         8   5 -1.380527E+03  4.562217E-05  4.562217E-05  8.726358E-14  2.128806E-13 -8.833345E-15
         8   6 -1.380527E+03  4.562217E-05  4.562217E-05 -1.558142E-13 -2.802685E-14  7.066676E-14
         8   7 -1.380527E+03  4.562217E-05  4.562217E-05  6.945080E-14 -1.721267E-14 -7.066676E-14
         8   8 -1.380527E+03  4.562217E-05  4.562217E-05 -1.041762E-13  9.564488E-14  1.457502E-13
         9   1 -1.380527E+03  4.562217E-05  4.562217E-05  2.778032E-13  1.932913E-13  1.766669E-14
         9   2 -1.380527E+03  4.562217E-05  4.562217E-05  1.128575E-13 -1.192373E-13  6.845842E-14
         9   3 -1.380527E+03  4.562217E-05  4.562217E-05  2.778032E-13 -8.606336E-15 -3.032163E-32
         9   4 -1.380527E+03  4.562217E-05  4.562217E-05  1.215389E-13  7.820716E-14  8.833345E-14
         9   5 -1.380527E+03  4.562217E-05  4.562217E-05 -1.389016E-13  4.378182E-14  7.066676E-14
         9   6 -1.380527E+03  4.562217E-05  4.562217E-05 -3.472540E-14 -7.775708E-14  1.082085E-13
         9   7 -1.380527E+03  4.562217E-05  4.562217E-05 -1.389016E-13 -3.442534E-14  7.066676E-14
         9   8 -1.380527E+03  4.562217E-05  4.562217E-05 -3.472540E-14  3.000556E-16  1.148335E-13

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.5000000E-01

         1   1 -6.644444E-03  1.993333E-03  1.993333E-03 -1.950256E-19  1.322750E-20 -1.763242E-38
         1   2 -6.644444E-03  1.993333E-03  1.993333E-03 -4.104204E-19  8.053839E-20 -1.222156E-19
         1   3 -6.644444E-03  1.993333E-03  1.993333E-03 -2.528162E-20 -9.387041E-22 -1.086361E-19
